n_prey_initial,n_prey_eaten,n_prey_alive
5,0,5
5,0,5
5,0,5
5,0,5
5,0,5
5,1,4
5,1,4
5,2,3
5,2,3
5,3,2
10,1,9
10,1,9
10,2,8
10,3,7
10,3,7
10,3,7
10,5,5
10,5,5
10,5,5
10,5,5
20,2,18
20,2,18
20,3,17
20,4,16
20,4,16
20,6,14
20,7,13
20,9,11
20,11,9
20,11,9
40,9,31
40,10,30
40,10,30
40,11,29
40,12,28
40,12,28
40,17,23
40,20,20
40,21,19
40,24,16
70,12,58
70,13,57
70,14,56
70,16,54
70,17,53
70,22,48
70,24,46
70,26,44
70,27,43
70,39,31
100,14,86
100,16,84
100,19,81
100,22,78
100,26,74
100,27,73
100,30,70
100,35,65
100,46,54
100,49,51
140,12,128
140,20,120
140,30,110
140,31,109
140,41,99
140,49,91
140,49,91
140,51,89
140,51,89
140,58,82
